Document ID,comment_text,sample_type,gold_topics,gold_stance,emerging_notes
MARAD-2019-0093-10139,"To whom it may concern, I am writing to urge MARAD to halt the approval of the Texas GulfLink project. The project is projected to emit 3.8 billion metric tons of [greenhouse gases](https://www.theguardian.com/business/2023/feb/21/joe-biden-oil-terminals-texas-carbon-bombs-fossil-fuels) over its 30-year life span. This is incompatible with national and international emissions targets and a severe threat to the climate. The [International Energy Agency](https://www.iea.org/reports/net-zero-by-2050) has warned that no new fossil fuel infrastructure can be built to avoid dangerous global heating. The final environmental impact statement (FEIS) released by MARAD fails to provide critical information and analyses necessary to complete the required NEPA review and the Deepwater Water Port Act’s (“DWPA”) national interest and financial assurance determinations. MARAD cannot validly approve a license for the GulfLink project. Approving the GulfLink project now would lock in decades of fossil fuel dependence and infrastructure, and pollute Gulf communities already experiencing devastating climate disasters, without benefit to local residents. Acres of sensitive wetlands, marshes, and prairies that provide safe shelter for millions of migratory birds and endangered sea turtles will be disrupted or destroyed if GulfLink is approved. The project also increases the risk of oil spills, in an area where threatened or endangered species and communities are still recovering from the impacts of the devastating 2010 Deepwater Horizon oil spill. GulfLink would disrupt sea turtle critical habitat with increased ship traffic and construction of the pipeline and terminal, and an oil spill would destroy the nesting grounds of the critically endangered Kemp’s ridley sea turtle. The FEIS wrongfully assumes that this project would not increase the volume of U.S. oil exports or increase environmental harm. As the EPA recently explained, an agency errs if it assumes “oil and gas production woul",rare_oversample,oil_spill_risk|climate_emissions|marine_wildlife|wetlands_coast,oppose,"environmental_review, NEPA_process"
MARAD-2019-0093-9378,"This was the hottest summer in the history of the planet. People around the world, including Texas, died. People closer to the equator were forced to leave their homes and stream north seeking food and shelter. We cannot continue to prop up the industry that is making all of this worse. MARAD lacks authority to approve a license for this project because the final environmental impact statement fails to provide critical information and analyses necessary to comply with the National Environmental Policy Act (NEPA) and the Deepwater Water Port Act (DWPA). GulfLink is among 20 new fossil fuel projects proposed for the Gulf South – the largest fossil fuel buildout in the world. If completed, it would export up to 1 million barrels of crude oil every day of its 30-year life span. We must grow up as a society and start acting as though we want to survive past the next few years. With sincere fury, Ms. Rhiannon Gallagher Wheat Ridge, CO",rare_oversample,climate_emissions,oppose,"environmental_review, NEPA_process"
MARAD-2019-0093-1854,I support the Texas GulfLink project. This project will bring many jobs as well as other opportunities for those living in and surrounding the Gulf Coast area.,rare_oversample,national_interest,support,
MARAD-2019-0093-8027,"I am an environmental scientist and I strongly recommend that you do NOT approve the Texas GulfLink oil export terminal. First and foremost is the environmental impact to the planet as a whole. Exporting fossil fuels is promoting the use of fossil fuels (for decades) which is exactly what is heating up our atmosphere, oceans and land. This in turn is causing massive changes to the earth including sea water rise, wildfires, raging storms, heatwaves, drought, and the death and displacement of humans, animals and other forms of life. The environmental impact is to the entire globe and it is deadly. Secondly, there is a potentially great impact to the communities near the facility which will experience increased air pollution due to land and water traffic, construction and maintenance and inevitable leaks, burning, and accidents. Please do not license this project. Alice Freund, MSPH",rare_oversample,oil_spill_risk|climate_emissions|air_quality,oppose,public_health
MARAD-2019-0093-0317,"I am in favor of approval for the Texas GulfLink project as it will allow for a safe and efficient mechanism for the transportation of crude oil. In a time when safety and reductions in cumulative emissions are of great importance, I feel that it makes perfect sense that this project receive approval. Thanks!",rare_oversample,climate_emissions,support,
MARAD-2019-0093-3087,"I am writing to strongly encourage you to do the right thing for the citizens of Brazoria County and deny the deepwater port license for the proposed Gulflink (MARAD-2019-0093) project in order to protect the health and well-being of local citizens. I personally oppose the project. I believe that lots of people in the Brazosport area feel the same as I do; but I think they are not aware of the proposed project as there has been very little information provided to the public regarding possible construction. I was born in Freeport, TX and have lived in this area for most of my 70 years. I have suffered with breathing issues for most of my life and a chronic cough that really never goes away, culminating in a tumor developing in my lung 11 years ago. Half of my lung had to be removed in order to save my life. My pulmonologist (who is a well-known and respected medical doctor in the Houston medical center) has told me many times that my breathing problems are directly related to the poor air quality in the geographic area. I see this new offshore terminal as only making the already undesirable and unhealthy air quality even more detrimental to my health and to the public’s health. Please do not sacrifice the health and well-being of humans for monetary profits for big companies! Also, I have family and many friends who are farmers and ranchers and own considerable farm and pasture land in the area. The talk of more pipelines running through these pastures and farm fields only creates more issues for the land owner. I do not know a single land owner who wants the invasion of construction, traffic, workers, unsightly building sites, etc. that is created when these pipelines are constructed—not to mention the irreversible damage that occurs to the land. With current chemical plants in the area, we already are experiencing major traffic issues and construction of more pipelines, transmission lines, roadways, etc. creating many, many problems for our beautiful, peaceful, qui",rare_oversample,air_quality,oppose,public_health
MARAD-2019-0093-5654,"I like shrimp. I don't like oil or gas anymore. Convert, retrain, and let's stop sh-tting where we eat. SL I am writing to voice my opposition to the Texas GulfLink oil export terminal. The final environmental impact statement released by MARAD fails to provide critical information and analyses necessary to complete the required NEPA review and the Deepwater Water Port Act’s (“DWPA”) national interest and financial assurance determinations. MARAD cannot validly approve a license for the GulfLink project. Approving the GulfLink project now would lock in decades of fossil fuel dependence and infrastructure, and pollute Gulf communities already experiencing devastating climate disasters, without benefit to local residents. GulfLink is one of four proposed oil export terminal projects in different permitting stages. There are also close to 20 methane gas LNG export terminals in various stages of development, and many new petrochemical plants proposed in the coastal area. These projects are sited in low-income communities, communities of color, and on Indigenous lands due to decades of economic disenfranchisement and systemic racism. These same communities are also the hardest hit by the climate crisis, which is caused by the emissions from fossil fuel production and use. Communities where the proposed oil and gas export expansion is concentrated suffer from increased rates of asthma, respiratory illness, and cancer. This is the direct result of decades of federal authorizations to construct and operate fossil fuel and other industrial facilities in and along the Gulf of Mexico. Adding thirty more years of polluting oil and gas infrastructure flouts the Administration’s commitments to reverse this toxic legacy. If GulfLink is licensed and then operates at full capacity for its expected 30-year lifespan, it will cause an incredible 3.8 billion metric tons of greenhouse gas emissions. This will push the world closer to climate catastrophe at a time when it is clear we need",rare_oversample,climate_emissions|air_quality|environmental_justice|fisheries|national_interest,oppose,"public_health, environmental_review, NEPA_process"
MARAD-2019-0093-2996,"Attached, please find the signatures of 19,148 Friends of the Earth supporters. Dear Administrator Phillips, I am writing to urge you to deny the Texas GulfLink Terminal permit. This project threatens communities with toxic air pollution, endangers sensitive marine habitats, and accelerates the climate crisis. MARAD’s own Final Environmental Impact Statement estimates the upstream and downstream greenhouse gas emissions for the percent of the oil that could be exported by GulfLink to be 108,453,665 metric tons of carbon dioxide annually, jeopardizing any of the administration’s efforts to prevent Americans from experiencing the worst impacts of the climate crisis. Approving this project will lock us into using fossil fuels for decades and delay the much-needed worldwide transition to clean, renewable energy. The GulfLink project is not in the national interest. It will increase toxic air pollution in Brazoria County, which currently suffers from air quality that fails to meet EPA health standards and attainment status. Communities in the Texas Gulf Coast and across the United States, where oil is transported through a complex network of dangerous infrastructure, will bear the burden of the project’s detrimental impacts. As proposed, GulfLink directly threatens the nesting ground of endangered Kemp’s Ridley sea turtles, the Texas state sea turtle, and the world’s most endangered sea turtle species. The project also puts at risk crucial marine habitats for fisheries in the region as well as other endangered species, including the Reddish Egret and Piping Plovers, and six different whale species. Gulf Link’s offshore pipelines and deepwater port are sited within three Marine Protected Areas: Reef Fish Stressed Area, Reef Fish Longline and Buoy Gear Restricted Area, and Texas Shrimp Closure. In addition, the Gulf of Mexico’s only marine sanctuary — the Flower Garden Banks National Marine Sanctuary — is located approximately 41 nautical miles southeast of the proposed Gu",rare_oversample,climate_emissions|air_quality|environmental_justice|marine_wildlife|fisheries|national_interest,oppose,"public_health, water_quality, environmental_review, NEPA_process"
MARAD-2019-0093-3088,"Public Comment—MARAD-2019-0093 I moved to Brazoria County in 1967 to work for Dow Chemical Company, progressing into management with assignments in Freeport, Houston, Plaquemine Louisiana, and back in Freeport, TX. So, I have lived in Brazoria County for 50 of the past 55 years. I am against the deepwater oil and gas export terminals proposed to be built offshore of Surfside. The potential adverse impact on air quality is particularly concerning to me as my wife struggles with her breathing year round. Air quality is important to us. I am further concerned about the adverse impact on the commercial and recreational fishing. This area, Surfside, Brazoria County is immeasurably popular for sport fishing. Further, many small family companies make their living commercially fishing in these local waters. One oil spill could interrupt the livelihood of these commercial fishing operations. Generations of our family have fished and still fish these waters, and all the way to Laguna Madre to the South. I urge you to do the right thing for Brazoria County by denying the deepwater port license for the proposed GULFLINK project.",rare_oversample,oil_spill_risk|air_quality|fisheries,oppose,public_health
MARAD-2019-0093-0281,"I would like to express opposition to approval of the Texas GulfLink LLC application for a Deepwater Port License from the Maritime Administration and the Army Corps of Engineers, to raise concerns of the significant inadequacies in the project's environmental review, and to request a public hearing on the USACE permitting process due to the extreme risks the project presents to our communities including flooding, contamination of our water supply, the Brazos Watershed, and Gulf Waters. I am concerned that construction and operation of the export facility would only benefit oil and gas industry interests while polluting local communities and the Gulf of Mexico's coastal and marine ecosystems, and escalating the global climate crisis. The world is changing and going towards renewable energies. Support of oil and gas is contrary to the health and survival of all life on this earth. Brazoria County is home to some of the state's most precious natural resources. Beyond their intrinsic natural beauty, our healthy beaches and wetlands provide effective storm damage and flood protection; offer residents and visitors recreational opportunities; and provide unique environmental habitats. When the GulfLink pipeline ruptures it will contaminate the Justin Hurst Wildlife Management Area, a rich, bio-diverse wetland wildlife sanctuary prized for waterfowl hunting. Our coastal region is an economic engine filled with recreational opportunities and environmental treasures that deserve to be protected. I am deeply concerned about potentially catastrophic impacts of another major oil spill in the Gulf of Mexico. Our Gulf marine life has suffered tremendously from the Deepwater Horizon spill, killing sea turtles and nearly destroying the dolphin population. Oil, gas, and chemical infrastructure dominate the Gulf and leak toxic chemicals and oil, contaminating our waters every year. In 2018, NOAA reported 137 significant"" oil spills in the U.S., most of them occurring in the Gulf of M",rare_oversample,oil_spill_risk|climate_emissions|marine_wildlife|fisheries|wetlands_coast,oppose,"water_quality, flood_risk, environmental_review, NEPA_process, public_health"
MARAD-2019-0093-8507,"The proposal by Sentinel Midstream to build the Texas GulfLink project and pump ship 1 million barrels of crude oil per day is immoral, impractical and must by rejected. There are many reasons to reject the plan, including: 1. Permitting more fossil fuel export projects is a direct violation of our international climate agreements and goals under the Paris Climate Agreement. The International Energy Agency and UN Scientists have been painfully clear — to achieve the goals President Biden and the world have committed to of limiting global warming to 1.5-2 degrees Centigrade, we must stop building ALL NEW fossil fuel infrastructure now! 2. GulfLink will leak, and there will be an oil spill, as all offshore oil terminals ever built have leaked and spilled. This threatens to destroy coastal wetlands, ecosystems, endangered species and aquatic wildlife. Additionally, GulfLink will have above-ground storage tanks, enough to hold 8.5 million barrels of oil, near Jones Creek, a known flood zone and disaster waiting to happen. 3. GulfLink, like all fossil fuel infrastructure takes public lands and property for private corporate gain. This is an affront to communities and property rights that also generates enormous greenhouse gas emissions and air pollution, and will destroy other sources of economic and community benefit, like tourism and fishing . cannot legally approve a license for the GulfLink project. 4. Approving the GulfLink project now would lock in decades of fossil fuel dependence and infrastructure, polluting Gulf communities already experiencing devastating climate disasters, without benefit to local residents. In our climate fight, we cannot afford anymore fossil fuel infrastructure Please do not approve GulfLink.",rare_oversample,oil_spill_risk|climate_emissions|air_quality|marine_wildlife|fisheries|wetlands_coast,oppose,"property_rights, tourism, flood_risk, NEPA_process"
MARAD-2019-0093-4896,"Final Rule/ Final Law Operation Terrorist /Traitor clean sweep Round up Official Update: Sovereign World Wide Global American Kingdom, Main Justice , Emperor, Despot, Sole Lawful Exclusive Executive Lawful Creator for all actual True lawful laws and currency, ,Corresponding to and with Kamila Harris, Global USA,,,,,,,,,10:33 AM 07/29/2024 (1) It’s time to update Identifications Safety First, as Terrorist proceed in their Ti raid to keep doing Identity Theft, Drops, Human trafficking and Cat fishing, mimicking, and Scaling, and coning it is Necessary for the Integrity and making sure those responsible is taken into custody, I’ve give instruction to DMVs, Global Entry, for it is needed to have ID systems ran Universal to keep Impersonators, pretenders ready to be apprehended. (2) Gatorade and Starbucks Ventures new Drinks get your Caffeine on and rehydration on at the same time. (3) Explanatory about Deportations for those claiming to be Homeless, whom are not homeless at all just those refusing to inside in hopes to be able to genocide ,saying they always get to kill, murder, rape genocide, (4) All those in the Alachua County FLA,USA (32601)32608) those whom are not with me Johnny or Sian must be deported ,all this they must be allowed to kill rape and murder all Wives, and Children, are not a seeable further Deport them and those involved with them (5) Continue to Deport all Brittan’s , KKK, Alkida,CIM,WACO, Slavery Corporation Africa, Egypt, Israel, and Saco and Brain are terrorist con Gainesville, city hall and county, pushing their Genocide and slavery Agenda Imamate threat , must be as astatine Sleep Deprivation, constant Ambushes, and meaning Assignation attempts every day on me Johnny and Sian since 1986, and continue to help terrorist (6) Terrorist and Traitors need to be rounded up faster Operation Warp Speed, and Business and store fronts have not been donating I and Sian anything even through it’ mine and Sian, Main R+ Asset account that provides for all k",rare_oversample,NONE,unclear,
MARAD-2019-0093-8538,"Dear Coast Guard Staff, MARAD, President Biden, and Vice President Harris, Sentinel Midstream's proposal to pump 1 million barrels of crude oil per day via the Texas GulfLink project is immoral, impractical and must by rejected. There are a lot of reasons to reject the plan: 1. To limit global warming to 1.5-2 degrees Centigrade as President Biden and the world have committed, we must stop building all NEW fossil fuel infrastructure immediately. 2. We know for sure GulfLink will leak, and there will be an oil spll - every offshore oil terminal ever built has leaked and spilled. This threatens to destroy coastal wetlands, ecosystems, endangered species and aquatic wildlife. 3. Like all fossil fuel infrastructure, GulfLink will take public lands and property for private corporate gain. This is an affront to communities and property rights that also generates enormous greenhouse gas emissions and air pollution, and will destroy other sources of economic and community benefit, like tourism and fishing. 4. MADAD's final environmental impact statement fails to provide critical information and analyses necessary to complete the required NEPA review and the Deepwater Water Port Act’s (“DWPA”) national interest and financial assurance determinations. MARAD and the Coast Guard cannot legally approve a license for the GulfLink project. 5. Moving forward with this now would lock in decades of fossil fuel dependence and infrastructure, and pollute Gulf communities already experiencing devastating climate disasters, without benefit to local residents. A sincerely pissed off climate activists,",rare_oversample,oil_spill_risk|climate_emissions|air_quality|marine_wildlife|fisheries|wetlands_coast|national_interest,oppose,"property_rights, tourism, environmental_review, NEPA_process"
MARAD-2019-0093-10572,"Hi, I’m Sarah Welch from Harris County, Houston. I attend the University of Houston and I oppose the construction of a new oil export terminal, the Texas GulfLink! The city of Houston and the Gulf of Mexico recently lived through another hurricane disaster. The Texas GulfLink project, owned by Sentinel Midstream and approved by the Biden Administration, would contribute more to human, wildlife, and environmental risks. Risks of hundreds of oil spills over their lifetime, destroy coastal wetlands, threaten ecosystems, endanger communities and property rights, generate enormous greenhouse gas emissions and air pollution, and jeopardize tourism and fishing industries that depend on thriving coastal and ocean environments. The final environmental impact statement released by MARAD fails to provide critical information and analyses necessary to complete the required NEPA review and the Deepwater Water Port Act’s (“DWPA”) national interest and financial assurance determinations. MARAD cannot validly approve a license for the GulfLink project. Approving the GulfLink project now would lock in decades of fossil fuel dependence and infrastructure, and pollute Gulf communities already experiencing devastating climate disasters, without benefit to local residents. Stop Texas GulfLink!",rare_oversample,oil_spill_risk|climate_emissions|air_quality|marine_wildlife|fisheries|wetlands_coast|national_interest,oppose,"flood_risk, environmental_review, NEPA_process, property_rights, tourism"
MARAD-2019-0093-9020,"Hi, I’m Crystal Zamarron from Bexar county. I oppose the construction of a new oil export terminal, the Texas GulfLink! The city of Houston and the Gulf of Mexico recently lived through another hurricane disaster. The Texas GulfLink project, owned by Sentinel Midstream and approved by the Biden Administration, would contribute more to human, wildlife, and environmental risks. Risks of hundreds of oil spills over their lifetime, destroy coastal wetlands, threaten ecosystems, endanger communities and property rights, generate enormous greenhouse gas emissions and air pollution, and jeopardize tourism and fishing industries that depend on thriving coastal and ocean environments. The final environmental impact statement released by MARAD fails to provide critical information and analyses necessary to complete the required NEPA review and the Deepwater Water Port Act’s (“DWPA”) national interest and financial assurance determinations. MARAD cannot validly approve a license for the GulfLink project. Approving the GulfLink project now would lock in decades of fossil fuel dependence and infrastructure, and pollute Gulf communities already experiencing devastating climate disasters, without benefit to local residents. Stop Texas GulfLink! The location is near low-income communities, communities of color, and Indigenous lands due to decades of economic disenfranchisement and systemic racism. Stop! Do not contribute to environmental racism! Brazoria County, where the project is proposed, already fails to meet national clean air standards for ozone, a pollutant linked to a range of respiratory problems. Stop! Do not contribute to air pollution! Local drinking water will be prone to contamination, especially if there are spills or improper storage procedures at GulfLink’s proposed tank farm in Jones Creek. Stop! We need proper drinking water to live! GulfLink fails to justify locating the terminal in a floodplain or provide an adequate safety plan addressing flood risks. In the ",rare_oversample,oil_spill_risk|climate_emissions|air_quality|environmental_justice|marine_wildlife|fisheries|wetlands_coast|national_interest,oppose,"flood_risk, environmental_review, NEPA_process, property_rights, tourism, water_quality, public_health"
MARAD-2019-0093-2898,"GulfLink would be an absolute nightmare for Gulf Coast communities, ecosystems, and our global climate. Our marine ecosystems and coastal communities can’t afford another disaster --which is just a matter of time--and shouldn’t be put at risk for crude oil exports. Additionally, the GulfLink terminal and supporting pipelines pose extreme threats to Texas waterways, shoreline, and Gulf waters. An oil spill from the 42 miles of onshore and offshore pipelines could destroy community drinking water, coastal habitat, harm wildlife, and adversely impact important industries like tourism and fishing. The notorious BP Deepwater Horizon Disaster was a decade ago and the Gulf Coast ecosystem is still recovering. The Maritime Administration and U.S. Coast Guard have the authority to deny GulfLink’s permits. Please STOP GulfLink.",rare_oversample,oil_spill_risk|climate_emissions|marine_wildlife|fisheries|wetlands_coast,oppose,"water_quality, tourism"
MARAD-2019-0093-2851,"I oppose the Texas GulfLInk Deepwater Port. I am a resident of Brazoria County. I enjoy visiting the beaches and the National Wildlife Refuges. 1. The project is a waste of our natural resources. We should not be exporting oil. We should be saving our oil for future emergency use. The safest place to save oil is in its original underground location. 2. The risk of spills from storage or transport at this scale is too great. As we have all seen, spills of every size can happen in spite of the assurances to the contrary. Prevention of spills cannot be guaranteed. Complete clean-up is impossible. 3. The outcome of a large spill or several small spills would be devastating to tourism. Our beaches are visited by people from all over Texas and other states, bringing tourist dollars to the area. No one would want to visit a beach after an oil spill. 4. Hurricanes and flooding rains are common in our area. The potential for spills increases with storms. Wind and waves could damage the pipelines and storage tanks, causing irreparable harm. 5. The saltwater wetlands, freshwater bayous, woody thickets, and coastal prairies of the Brazoria National Wildlife Refuges host a number of permanent and migratory species, both terrestrial and marine. Here are the numbers: a. reptiles and amphibians: 95 species b. fish: 127 species, including commercial species c. mammals: 52 species d. birds: 400 species, including migratory species e. insects: 130 species of butterflies and dragonflies (these are just some of the insects present) 6. Brazoria County is already a non-attainment zone for air quality. Prevailing wind patterns would move volatile compounds over the county, compounding the air quality problem. Air pollution contributes to higher human death rates. In conclusion, the ordinary operation would imperil lives and a spill would devastate fragile ecosystems. The risks are great, and the benefits are few. I ask that you REJECT the proposed Texas GulfLink Deepwater Port.",rare_oversample,oil_spill_risk|marine_wildlife|fisheries|wetlands_coast|national_interest,oppose,"tourism, flood_risk"
MARAD-2019-0093-8002,"I urge you to reject the license for the Texas GulfLink oil export terminal. Fossil fuel pollution is the primary reason behind the climate crisis. The proposed Gulflink terminal will move one million barrels of oil per day and it is estimated that this terminal will cause more than 3.5 billion tons of climate pollution during it's lifetime. This is exactly what we don't need. The climate emergency is wreaking havoc all over the planet. Approving the GulfLink project will lock us in to more decades of dependence on fossil fuels when we desperately need to move to cleaner energy sources like wind and solar. Furthermore, communities in the Gulf have already been disproportionately impacted by fossil fuel projects. This additional terminal will again cause negative impacts to local communities to include degradation of coastal beaches and wetlands. This has impacted the local fishing industry causing many to lose jobs. It has also led to an industrialized area that was once serene and teaming with wildlife. Long time residents are suffering from these impacts without any positive benefits.",rare_oversample,climate_emissions|marine_wildlife|fisheries|wetlands_coast|national_interest,oppose,VOC_emissions
MARAD-2019-0093-10664,"The Texas GulfLink project, owned by Sentinel Midstream, would pump an additional 1 million barrels of crude oil per day to buyers overseas. Texas GulfLink would receive oil through an onshore pipeline from Houston into above-ground storage tanks that could hold 8.5 million barrels of oil near Jones Creek, a flood zone. The crude would be transported via a new 42-inch offshore pipeline to one of two floating mooring buoys in the Gulf of Mexico about 26.6 miles offshore from Freeport in Brazoria County. GulfLink is proposed just seven miles from Sea Port Oil Terminal, another massive oil export project the Biden administration quietly approved this year that would emit the equivalent of nearly 90 coal-fired power plants in planet-warming greenhouse gas emissions, violating the climate policies President Biden laid out in his executive orders. Projects like GulfLink risk hundreds of oil spills over their lifetime, destroy coastal wetlands, threaten ecosystems, endanger communities and property rights, generate enormous greenhouse gas emissions and air pollution, and jeopardize tourism and fishing industries that depend on thriving coastal and ocean environments. The final environmental impact statement released by MARAD fails to provide critical information and analyses necessary to complete the required NEPA review and the Deepwater Water Port Act’s (“DWPA”) national interest and financial assurance determinations. MARAD cannot validly approve a license for the GulfLink project. Approving the GulfLink project now would lock in decades of fossil fuel dependence and infrastructure, and pollute Gulf communities already experiencing devastating climate disasters, without benefit to local residents.",rare_oversample,oil_spill_risk|climate_emissions|air_quality|marine_wildlife|fisheries|wetlands_coast|national_interest,oppose,"flood_risk, environmental_review, NEPA_process, property_rights, tourism"
